Adm_Year,Gender,Age,HSC_Pass_Year,Program,Merit_Scholarship,Uni_Transport,Learn_Mode,Smartphone,PC,Eng_Proficiency,Probation,Suspension,Do you attend in teacher consultancy for any kind of academical problems? ,Relationship,CoCurricular,Living_Arrangement,Health_Issues,Physical_Disabilities,Target,Curr_Sem1,Study_Hours1,Study_Sessions1,SM_Hours1,Avg_Attendance1,Skills1,Skill_Dev_Hours1,Interest_Area1,Prev_SGPA1,Curr_CGPA1,Completed_Credits1,Diploma,Family_Income1
2018,Male,22,2016,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Average,12,4.5,2,2,95,"Cyber security, Phishing",6,Hardware,3.85,3.1,115,FALSE,25000
2019,Male,21,2018,BCSE,Yes,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Good,11,2,2,3,90,"Programming, Web development",5,Data Science,4,3.78,120,FALSE,50000
2018,Female,24,2018,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,No,No,Average,8,4,2,1,97,"Programming, Web development",2,Machine Learning / Deep Learning,2.98,2.91,136,FALSE,20000
2020,Female,22,2018,BCSE,Yes,Yes,Offline,Yes,Yes,Advance,No,No,No,Single,Yes,Family,No,No,Poor,8,5,2,15,100,"Programming, Web development",4,Data Science,3.64,3.75,88,FALSE,34000
2022,Female,19,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Good,2,6.5,2,1,95,"Programming, Software Development",2,Software,3.56,3.58,11,FALSE,10000
2019,Male,23.6,2018,BCSE,No,Yes,Offline,Yes,Yes,Advance,No,No,Yes,In a relationship,No,Family,No,No,Poor,11,1,1,2,65,"Digital Marketing, Teaching",1,"Hardware, Physics",1.68,3.1,120,FALSE,30000
2022,Male,20,2020,BCSE,No,Yes,Online,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,No,No,Poor,2,3,3,5,80,Programming,2,Networking,2.54,2.54,11,FALSE,40000
2022,Male,20,2020,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,No,No,Excellent,2,7.5,3,1,95,Programming,1,Software,3.9,3.9,11,FALSE,50000
2019,Female,22,2019,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,No,No,Excellent,9,6,3,3,90,Networking,1,Networking,3.84,3.77,99,FALSE,60000
2019,Male,22,2018,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,Yes,No,Poor,2,1,2,20,70,"Programming, Web development",6,Machine Learning / Deep Learning,3.68,3.39,117,FALSE,16000
2018,Female,23,2016,BCSE,Yes,Yes,Offline,Yes,Yes,Advance,No,No,No,Single,No,Family,No,No,Average,9,2,1,2,95,Web development skill(Frontend),2,Machine Learning / Deep Learning,3.14,3.14,101,FALSE,40000
2019,Male,23,2018,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Good,11,4.5,2,4,95,"Programming, Networking",1,Networking,3.69,3.23,125,FALSE,30000
2017,Male,26,2014,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Average,17,3,2,1,95,"Programming, Software Development",6,Machine Learning / Deep Learning,2.73,3.08,110,FALSE,25000
2019,Male,24,2018,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Average,11,2.5,2,1,80,"Programming, Web development",3,Software,3.48,3,123,TRUE,25000
2022,Male,20,2020,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Poor,2,5,2,12,100,Programming,2,Software,2.61,3.39,11,FALSE,40000
2018,Male,23,2018,BCSE,No,No,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Single,Yes,Bachelor,No,No,Poor,12,1,1,2,95,"Programming, Web development",1,Software,2.8,2.68,84,FALSE,50000
2020,Male,23,2019,BCSE,No,No,Offline,Yes,Yes,Basic,Yes,No,Yes,Single,No,Bachelor,No,No,Poor,7,1.5,3,3,90,Programming,2,Software,1.52,2.15,70,FALSE,36000
2020,Male,22,2019,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Average,8,2,2,3,100,"Programming, Web development",2,Data Science,3.12,3.08,83,FALSE,2530
2018,Male,24,2017,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,In a relationship,No,Family,No,No,Good,12,5,6,1,90,Networking,3,Networking,3.68,3.33,118,FALSE,20000
2020,Male,19,2019,BCSE,Yes,No,Online,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,No,No,Good,8,2.5,2,1,90,"Programming, Software Development",2,Data Science,3.36,3.72,88,FALSE,20000
2022,Male,20,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Average,2,1,1,4,99,Programming,2,Networking,3.83,3.83,11,FALSE,35000
